production_route,page_type,v2_route_or_pattern,v2_component_template,data_source,media_source,canonical_target,migration_action,dependencies,known_gaps,blocking_status
"/ulichnaya-mebel/stoly-i-komplekty/stol-so-skamyami-orbita/","catalog-product","/design-lab/v2/ulichnaya-mebel/stoly-i-komplekty/stol-so-skamyami-orbita/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/stol-so-skamyami-orbita.json","src/content/products/stol-so-skamyami-orbita.json image/gallery","/ulichnaya-mebel/stoly-i-komplekty/stol-so-skamyami-orbita/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/ulichnoe-osveshchenie/","catalog-category","/design-lab/v2/ulichnaya-mebel/ulichnoe-osveshchenie/","CatalogCategoryV2 via [section]/[category]/index.astro","src/content/product-categories/ulichnoe-osveshchenie.json","src/content/product-categories/ulichnoe-osveshchenie.json image/gallery; child product media","/ulichnaya-mebel/ulichnoe-osveshchenie/","dynamic-template","Catalog V2 data layer; active section and product associations","","ready"
"/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-liniya/","catalog-product","/design-lab/v2/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-liniya/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/fonar-liniya.json","src/content/products/fonar-liniya.json image/gallery","/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-liniya/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-mayak/","catalog-product","/design-lab/v2/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-mayak/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/fonar-mayak.json","src/content/products/fonar-mayak.json image/gallery","/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-mayak/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-prizma/","catalog-product","/design-lab/v2/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-prizma/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/fonar-prizma.json","src/content/products/fonar-prizma.json image/gallery","/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-prizma/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-sektor/","catalog-product","/design-lab/v2/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-sektor/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/fonar-sektor.json","src/content/products/fonar-sektor.json image/gallery","/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-sektor/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-vektor-vysokiy/","catalog-product","/design-lab/v2/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-vektor-vysokiy/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/fonar-vektor-vysokiy.json","src/content/products/fonar-vektor-vysokiy.json image/gallery","/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-vektor-vysokiy/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-vektor/","catalog-product","/design-lab/v2/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-vektor/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/fonar-vektor.json","src/content/products/fonar-vektor.json image/gallery","/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-vektor/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/urny/","catalog-category","/design-lab/v2/ulichnaya-mebel/urny/","CatalogCategoryV2 via [section]/[category]/index.astro","src/content/product-categories/urny.json","src/content/product-categories/urny.json image/gallery; child product media","/ulichnaya-mebel/urny/","dynamic-template","Catalog V2 data layer; active section and product associations","","ready"
"/ulichnaya-mebel/urny/stantsiya-razdelnogo-sbora/","catalog-product","/design-lab/v2/ulichnaya-mebel/urny/stantsiya-razdelnogo-sbora/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/stantsiya-razdelnogo-sbora.json","src/content/products/stantsiya-razdelnogo-sbora.json image/gallery","/ulichnaya-mebel/urny/stantsiya-razdelnogo-sbora/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/urny/urna-blok/","catalog-product","/design-lab/v2/ulichnaya-mebel/urny/urna-blok/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/urna-blok.json","src/content/products/urna-blok.json image/gallery","/ulichnaya-mebel/urny/urna-blok/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/urny/urna-ellips/","catalog-product","/design-lab/v2/ulichnaya-mebel/urny/urna-ellips/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/urna-ellips.json","src/content/products/urna-ellips.json image/gallery","/ulichnaya-mebel/urny/urna-ellips/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/urny/urna-kolonna/","catalog-product","/design-lab/v2/ulichnaya-mebel/urny/urna-kolonna/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/urna-kolonna.json","src/content/products/urna-kolonna.json image/gallery","/ulichnaya-mebel/urny/urna-kolonna/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/urny/urna-layn/","catalog-product","/design-lab/v2/ulichnaya-mebel/urny/urna-layn/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/urna-layn.json","src/content/products/urna-layn.json image/gallery","/ulichnaya-mebel/urny/urna-layn/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/urny/urna-monolit/","catalog-product","/design-lab/v2/ulichnaya-mebel/urny/urna-monolit/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/urna-monolit.json","src/content/products/urna-monolit.json image/gallery","/ulichnaya-mebel/urny/urna-monolit/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/urny/urna-panel/","catalog-product","/design-lab/v2/ulichnaya-mebel/urny/urna-panel/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/urna-panel.json","src/content/products/urna-panel.json image/gallery","/ulichnaya-mebel/urny/urna-panel/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/urny/urna-profil/","catalog-product","/design-lab/v2/ulichnaya-mebel/urny/urna-profil/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/urna-profil.json","src/content/products/urna-profil.json image/gallery","/ulichnaya-mebel/urny/urna-profil/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/urny/urna-slim/","catalog-product","/design-lab/v2/ulichnaya-mebel/urny/urna-slim/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/urna-slim.json","src/content/products/urna-slim.json image/gallery","/ulichnaya-mebel/urny/urna-slim/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/urny/urna-vertikal/","catalog-product","/design-lab/v2/ulichnaya-mebel/urny/urna-vertikal/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/urna-vertikal.json","src/content/products/urna-vertikal.json image/gallery","/ulichnaya-mebel/urny/urna-vertikal/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/vazony-i-tsvetochnitsy/","catalog-category","/design-lab/v2/ulichnaya-mebel/vazony-i-tsvetochnitsy/","CatalogCategoryV2 via [section]/[category]/index.astro","src/content/product-categories/vazony-i-tsvetochnitsy.json","src/content/product-categories/vazony-i-tsvetochnitsy.json image/gallery; child product media","/ulichnaya-mebel/vazony-i-tsvetochnitsy/","dynamic-template","Catalog V2 data layer; active section and product associations","","ready"
"/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-gorizont/","catalog-product","/design-lab/v2/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-gorizont/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/vazon-gorizont.json","src/content/products/vazon-gorizont.json image/gallery","/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-gorizont/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-koltso/","catalog-product","/design-lab/v2/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-koltso/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/vazon-koltso.json","src/content/products/vazon-koltso.json image/gallery","/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-koltso/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-kontur/","catalog-product","/design-lab/v2/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-kontur/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/vazon-kontur.json","src/content/products/vazon-kontur.json image/gallery","/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-kontur/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-lenta/","catalog-product","/design-lab/v2/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-lenta/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/vazon-lenta.json","src/content/products/vazon-lenta.json image/gallery","/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-lenta/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-oval/","catalog-product","/design-lab/v2/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-oval/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/vazon-oval.json","src/content/products/vazon-oval.json image/gallery","/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-oval/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-ritm/","catalog-product","/design-lab/v2/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-ritm/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/vazon-ritm.json","src/content/products/vazon-ritm.json image/gallery","/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-ritm/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-soft/","catalog-product","/design-lab/v2/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-soft/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/vazon-soft.json","src/content/products/vazon-soft.json image/gallery","/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-soft/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/veloparkovki/","catalog-category","/design-lab/v2/ulichnaya-mebel/veloparkovki/","CatalogCategoryV2 via [section]/[category]/index.astro","src/content/product-categories/veloparkovki.json","src/content/product-categories/veloparkovki.json image/gallery; child product media","/ulichnaya-mebel/veloparkovki/","dynamic-template","Catalog V2 data layer; active section and product associations","","ready"
"/ulichnaya-mebel/veloparkovki/parkovka-dlya-samokatov-arka/","catalog-product","/design-lab/v2/ulichnaya-mebel/veloparkovki/parkovka-dlya-samokatov-arka/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/parkovka-dlya-samokatov-arka.json","src/content/products/parkovka-dlya-samokatov-arka.json image/gallery","/ulichnaya-mebel/veloparkovki/parkovka-dlya-samokatov-arka/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/veloparkovki/veloparkovka-duga/","catalog-product","/design-lab/v2/ulichnaya-mebel/veloparkovki/veloparkovka-duga/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/veloparkovka-duga.json","src/content/products/veloparkovka-duga.json image/gallery","/ulichnaya-mebel/veloparkovki/veloparkovka-duga/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/veloparkovki/veloparkovka-marker/","catalog-product","/design-lab/v2/ulichnaya-mebel/veloparkovki/veloparkovka-marker/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/veloparkovka-marker.json","src/content/products/veloparkovka-marker.json image/gallery","/ulichnaya-mebel/veloparkovki/veloparkovka-marker/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/veloparkovki/veloparkovka-pik/","catalog-product","/design-lab/v2/ulichnaya-mebel/veloparkovki/veloparkovka-pik/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/veloparkovka-pik.json","src/content/products/veloparkovka-pik.json image/gallery","/ulichnaya-mebel/veloparkovki/veloparkovka-pik/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/veloparkovki/veloparkovka-pilon/","catalog-product","/design-lab/v2/ulichnaya-mebel/veloparkovki/veloparkovka-pilon/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/veloparkovka-pilon.json","src/content/products/veloparkovka-pilon.json image/gallery","/ulichnaya-mebel/veloparkovki/veloparkovka-pilon/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/veloparkovki/veloparkovka-ramka/","catalog-product","/design-lab/v2/ulichnaya-mebel/veloparkovki/veloparkovka-ramka/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/veloparkovka-ramka.json","src/content/products/veloparkovka-ramka.json image/gallery","/ulichnaya-mebel/veloparkovki/veloparkovka-ramka/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/urny/","legacy-alias","(no V2 content duplicate)","redirect policy only","src/pages/urny.astro","none","/ulichnaya-mebel/urny/","redirect","Production routing/deployment layer capable of real HTTP 301","Current static output includes meta-refresh fallback","blocked-routing"
"/vakansii/","vacancies-archive","/design-lab/v2/vakansii/","V2VacanciesArchive + PracticalV2Layout","src/content/jobs/svarshchik.json; src/content/site-settings/global.json","none","/vakansii/","replace","V2 shared practical-page shell and current production data","Production vacancy detail URL remains an owner/architecture decision outside the 110-route manifest","ready"
"/vypolnennye-obekty/","projects-archive","/design-lab/v2/vypolnennye-obekty/","V2ProjectArchive + V2ProjectsLayout","src/content/projects/*.json","project image/gallery through mediaRoleAdapter","/vypolnennye-obekty/","replace","Active project records; V2-only presentation adapter","One active project is text-only; non-blocking","ready"
"/vypolnennye-obekty/blagoustroystvo-naberezhnoy-reki-tobol/","project-detail","/design-lab/v2/vypolnennye-obekty/blagoustroystvo-naberezhnoy-reki-tobol/","V2ProjectDetail via vypolnennye-obekty/[slug]/index.astro","src/content/projects/blagoustroystvo-naberezhnoy-reki-tobol.json","src/content/projects/blagoustroystvo-naberezhnoy-reki-tobol.json image/gallery through mediaRoleAdapter","/vypolnennye-obekty/blagoustroystvo-naberezhnoy-reki-tobol/","replace","V2 project presentation adapter and fullscreen gallery","","ready"
"/vypolnennye-obekty/gorodskie-kacheli-dlya-obshchestvennyh-territoriy/","project-detail","/design-lab/v2/vypolnennye-obekty/gorodskie-kacheli-dlya-obshchestvennyh-territoriy/","V2ProjectDetail via vypolnennye-obekty/[slug]/index.astro","src/content/projects/gorodskie-kacheli-dlya-obshchestvennyh-territoriy.json","src/content/projects/gorodskie-kacheli-dlya-obshchestvennyh-territoriy.json image/gallery through mediaRoleAdapter","/vypolnennye-obekty/gorodskie-kacheli-dlya-obshchestvennyh-territoriy/","replace","V2 project presentation adapter and fullscreen gallery","","ready"
"/vypolnennye-obekty/kompleks-rabot-na-proizvodstvennoy-territorii/","project-detail","/design-lab/v2/vypolnennye-obekty/kompleks-rabot-na-proizvodstvennoy-territorii/","V2ProjectDetail via vypolnennye-obekty/[slug]/index.astro","src/content/projects/kompleks-rabot-na-proizvodstvennoy-territorii.json","src/content/projects/kompleks-rabot-na-proizvodstvennoy-territorii.json image/gallery through mediaRoleAdapter","/vypolnennye-obekty/kompleks-rabot-na-proizvodstvennoy-territorii/","replace","V2 project presentation adapter and fullscreen gallery","","ready"
"/vypolnennye-obekty/remont-skvera-na-ulitse-gogolya/","project-detail","/design-lab/v2/vypolnennye-obekty/remont-skvera-na-ulitse-gogolya/","V2ProjectDetail via vypolnennye-obekty/[slug]/index.astro","src/content/projects/remont-skvera-na-ulitse-gogolya.json","src/content/projects/remont-skvera-na-ulitse-gogolya.json image/gallery through mediaRoleAdapter","/vypolnennye-obekty/remont-skvera-na-ulitse-gogolya/","replace","V2 project presentation adapter and fullscreen gallery","No real public media; text-only state","ready"
